Year,Month,Mean_WSE,StdDev_WSE,Mean_Depth,StdDev_Depth,Pixel_Count,Mean_Depth_Along,StdDev_Depth_Along,Valid_Nodes
2017,12,22.0,4.328265,4.0,4.328265,2144026,0.834390552137457,2.108740249223962,627
2018,1,22.0,4.3262267,4.0,4.3262267,2126212,0.8889793067907753,2.2596854895560696,626
2018,2,22.0,4.325566,4.0,4.325566,2131554,0.626427851965668,1.6088700427251303,654
2018,3,22.0,4.327834,4.0,4.327834,2138317,0.7208222412017731,2.057459278797016,666
2018,4,22.0,4.3356266,4.0,4.3356266,2141180,0.8362855011077971,2.265831012789417,666
2018,5,22.0,4.3286505,4.0,4.3286505,2150391,0.6138366087241441,1.7690463450301621,657
2018,6,22.0,4.3281217,4.0,4.3281217,2141239,0.9191559128523573,2.4387091874004336,682
2018,7,22.0,4.3362556,4.0,4.3362556,2164012,0.7917514280207018,2.067245974822295,680
2018,8,22.0,4.3370852,4.0,4.3370852,2155965,0.7030892719623785,1.9535425489565825,677
2018,9,22.0,4.336039,4.0,4.336039,2157861,0.8459715339827713,2.043742756605133,685
2018,10,22.0,4.330966,4.0,4.330966,2145229,0.9139942398879244,2.227604124568101,661
2018,11,22.0,4.328961,4.0,4.328961,2146830,0.7050047201300066,1.9889156669235175,718
2018,12,22.0,4.3203607,4.0,4.3203607,2120861,0.9124904044106147,2.3433716655136734,718
2019,1,22.0,4.3267746,4.0,4.3267746,2141049,0.6651782624528214,1.9104469073941057,666
2019,2,22.0,4.32153,4.0,4.32153,2124314,0.4868148318649431,1.2825130996824152,654
2019,3,22.0,4.326073,4.0,4.326073,2139981,0.7603352975669815,2.0949292898806657,652
2019,4,22.0,4.3303523,4.0,4.3303523,2138649,0.8896096107787186,2.3600636000698225,677
2019,5,22.0,4.3353996,4.0,4.3353996,2148671,0.8552742934743309,2.2922269002069586,628
2019,6,22.0,4.338884,4.0,4.338884,2162290,0.6827224924309042,1.9082040169368475,663
2019,7,22.0,4.3367567,4.0,4.3367567,2155375,0.7473648209088699,2.045176727901081,681
2019,8,22.0,4.3383045,4.0,4.3383045,2164414,0.7399596262412956,2.050380928260096,658
2019,9,22.0,4.33437,4.0,4.33437,2149521,0.8108494230417105,2.1069930641526313,624
2019,10,22.0,4.3377285,4.0,4.3377285,2156233,0.6955959938510001,1.9454630718457158,679
2019,11,22.0,4.3358884,4.0,4.3358884,2143661,0.826998677149017,2.1885811990474946,674
2019,12,22.0,4.334206,4.0,4.334206,2142749,0.7478367050871232,2.031104032266061,719
2020,1,22.0,4.3396587,4.0,4.3396587,2146376,0.9865069666971686,2.3089995234985694,655
