node_id,x,y,curvature,abs_curvature,position,sinuosity_local
45,45317.9095166254,3353914.2338951053,-0.0001800623729979757,0.0001800623729979757,0.04456989866337581,1.009081986683265
46,45256.7776852146,3353692.648045666,-0.0001943434807933628,0.0001943434807933628,0.04556399867608979,1.0082372708032172
47,45157.9095166254,3353486.6930988804,-0.0001768898556551622,0.0001768898556551622,0.04655201210898564,1.0091587306137066
48,45047.9095166254,3353291.2069720156,-0.00014049545150317927,0.00014049545150317927,0.047522091749199386,1.0075377328806405
49,44917.9095166254,3353121.578709527,-0.00012535071049584622,0.00012535071049584622,0.04844634870170362,1.0137055261176409
50,44833.686982051106,3352909.5573425028,-0.0001614847675385342,0.0001614847675385342,0.04943298059191036,1.016510944005547
51,44738.091975789896,3352713.9623362413,-0.0002339318950756652,0.0002339318950756652,0.05037450023628992,1.0135098062824999
52,44627.9095166254,3352530.2675151895,-0.000293289679177506,0.000293289679177506,0.0513008817007866,1.014860837244319
53,44497.40448858442,3352343.274849036,-0.0003039712957337166,0.0003039712957337166,0.05228705211520164,1.020932091970415
54,44321.09880420456,3352186.969164656,-0.00027365443285465795,0.00027365443285465795,0.05330603105044159,1.0229342974465714
55,44144.793119824695,3352030.6634802762,-0.00022965665268081403,0.00022965665268081403,0.054325009985681544,1.0178398460281988
56,43978.48743544483,3351864.3577958965,-0.00018257212338410996,0.00018257212338410996,0.055342151768121566,1.0119584495256762
57,43799.252818876834,3351715.123179328,-0.0001222244591162679,0.0001222244591162679,0.0563508074975312,1.0078705283354523
58,43598.4652416465,3351603.779877077,-4.120699227725594e-05,4.120699227725594e-05,0.05734373650008971,1.0048008079597235
59,43409.0678569883,3351464.9382174397,4.561495221594422e-05,4.561495221594422e-05,0.05835934368861276,1.0049610822647097
60,43213.975376044036,3351339.8457364957,0.00010643163537983517,0.00010643163537983517,0.05936161145822467,1.005085509653767
61,43023.42821728891,3351203.779877077,0.0001153329341896833,0.0001153329341896833,0.06037421020750298,1.00474040802524
62,42865.50614290804,3351031.3765033595,7.320968905078954e-05,7.320968905078954e-05,0.06138533177253965,1.0056703339184079
63,42695.05832290445,3350860.928683356,1.0041359438540678e-05,1.0041359438540678e-05,0.062427807260362,1.0067462324844396
64,42534.10797758391,3350709.9783380353,-3.2788052111887605e-05,3.2788052111887605e-05,0.0633821048813864,1.0064912928945768
65,42367.9095166254,3350555.3439690126,-2.929710252836427e-05,2.929710252836427e-05,0.06436386443276619,1.0053802458787098
66,42188.06515131911,3350423.9355117707,1.172446046614138e-05,1.172446046614138e-05,0.06532714666843448,1.0050817836221078
67,41994.18587381043,3350310.056234262,5.707393137314343e-05,5.707393137314343e-05,0.06629956447565115,1.0051212284934556
68,41856.16446067801,3350132.0348211294,8.234138861614896e-05,8.234138861614896e-05,0.06727374894002015,1.005217623140458
69,41682.3819148437,3349983.779877077,8.760867159020701e-05,8.760867159020701e-05,0.06826164449496216,1.0057076891420356
70,41500.62415973012,3349826.494520182,8.209390197246615e-05,8.209390197246615e-05,0.06930115227810962,1.0060064109674007
71,41345.53167878583,3349661.4020392373,6.779978676588426e-05,6.779978676588426e-05,0.07028077093017597,1.0050201610958376
72,41197.9095166254,3349499.073115314,4.192967058926225e-05,4.192967058926225e-05,0.07122968284125067,1.0019147573373355
73,41035.34671689727,3349331.217077349,5.80070304643228e-06,5.80070304643228e-06,0.07224024940443537,1.0037053307458774
74,40879.50972174589,3349153.779877077,-3.333043120252362e-05,3.333043120252362e-05,0.073261556465173,1.003469208675905
75,40718.59321251377,3348974.463572965,-6.411780831013245e-05,6.411780831013245e-05,0.0743035253586662,1.003228497937994
76,40547.9095166254,3348809.9713203283,-7.325360947968029e-05,7.325360947968029e-05,0.07532868461019726,1.0031859886040475
77,40395.98184375401,3348631.8522042055,-5.3711426312371656e-05,5.3711426312371656e-05,0.07634115682325247,1.0030765118716434
78,40200.88936280973,3348506.759723261,-1.58450727112442e-05,1.58450727112442e-05,0.07734342459286553,1.0031251114165638
79,40031.654746241715,3348347.525106693,1.6804128265753884e-05,1.6804128265753884e-05,0.07834836491483169,1.0028047065664516
80,39873.6333331093,3348189.5036935606,2.9461039828681465e-05,2.9461039828681465e-05,0.07931483928650851,1.0026580183813996
81,39707.9095166254,3348017.0991272307,2.8772543534351294e-05,2.8772543534351294e-05,0.08034905417604982,1.002963648546508
82,39541.02196434954,3347856.892324801,2.9893694924886295e-05,2.9893694924886295e-05,0.08134953327598812,1.0025135971459844
83,39367.9095166254,3347699.2639584905,3.846494945643547e-05,3.846494945643547e-05,0.08236206260673856,1.0004370892436771
84,39198.410595589776,3347534.280956041,5.041719484694586e-05,5.041719484694586e-05,0.08338501785781913,1.0010252422865304
85,39039.17597902176,3347365.046339473,6.368673947858796e-05,6.368673947858796e-05,0.08438995817978526,1.0033967864844573
86,38882.87029464188,3347188.7406550935,8.119218588668506e-05,8.119218588668506e-05,0.08540893711502524,1.0034159046612237
87,38720.70674588573,3347026.577106337,0.00010117805918878067,0.00010117805918878067,0.08640074519208442,1.0032677409010737
88,38562.68533275331,3346868.555693205,0.00011357699681960586,0.00011357699681960586,0.0873672195637598,1.0047436028107868
89,38420.52178399717,3346686.3921444486,0.00011302792278997104,0.00011302792278997104,0.08836654229502817,1.0045495588519893
90,38302.50037086475,3346488.370731316,0.0001085536303342389,0.0001085536303342389,0.08936349933981357,1.0065967495638304
91,38154.47895773233,3346320.349318184,0.00011146670586128966,0.00011146670586128966,0.09033190698950591,1.0062912837435984
92,38009.38647678805,3346145.2568372395,0.00012057579609872538,0.00012057579609872538,0.09131533671919234,1.0081458458480925
93,37898.4361314675,3345944.306491919,0.00012912830374347785,0.00012912830374347785,0.09230805885908935,1.0064338682539191
94,37774.55685395881,3345760.42721441,0.00014177876679254112,0.00014177876679254112,0.09326691846176854,1.008441922827012
95,37677.74864426199,3345553.6190047134,0.00017491473768086369,0.00017491473768086369,0.09425445009928166,1.0130453634824546
96,37537.9095166254,3345376.350513581,0.00024050962066837566,0.00024050962066837566,0.09523091240585399,1.030033674356559
97,37457.061157056494,3345162.931517508,0.00033201751757171833,0.00033201751757171833,0.09621790090007584,1.0338694324534539
98,37350.25294735967,3344966.123307811,0.0004191464604082644,0.0004191464604082644,0.09718630788389773,1.0384536409417735
99,37277.9095166254,3344749.1814548676,0.00045546906589310945,0.00045546906589310945,0.09817531450965698,1.0395633706502443
100,37227.9095166254,3344522.984649884,0.0004110729617916237,0.0004110729617916237,0.09917716968978733,1.039867446632325
101,37268.711494367984,3344292.9778993344,0.00030425331203296125,0.00030425331203296125,0.10018741780776565,1.0257331726417724
102,37277.9095166254,3344058.1646330454,0.00018214398410806943,0.00018214398410806943,0.1012037015358318,1.0217161162019328
103,37287.9095166254,3343823.683556814,7.996978054120665e-05,7.996978054120665e-05,0.10221869159804105,1.010627407524364
104,37317.9095166254,3343597.4867518307,9.92625596671555e-06,9.92625596671555e-06,0.10320549881474274,1.0050094182578422
105,37337.9095166254,3343367.1478112233,-2.8095523378138505e-05,2.8095523378138505e-05,0.10420540152196284,1.001543159703425
106,37347.9095166254,3343124.382463745,-3.6875778564039385e-05,3.6875778564039385e-05,0.10525618742587081,1.0011196909002367
107,37357.9095166254,3342889.9013875136,-2.0723013308546988e-05,2.0723013308546988e-05,0.10627117748808007,1.001144780331067
108,37366.749554474416,3342654.939839228,1.1024640168002303e-05,1.1024640168002303e-05,0.10728804262159523,1.001144032668527
109,37357.9095166254,3342420.9392350516,4.3054846551413054e-05,4.3054846551413054e-05,0.10830075487767912,1.001506916344152
110,37367.9095166254,3342194.742430068,6.141519190536036e-05,6.141519190536036e-05,0.10927995139698708,1.0014960784454339
111,37397.9095166254,3341968.545625084,6.412821305994032e-05,6.412821305994032e-05,0.11026675861369077,1.0016693385796214
